instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,days_count,season_cluster,weathersit_cluster
46,2011-01-02,1,0,1,22,0,0,0,1,9.84,10.605,44.0,19.999499999999998,0,9,9,23,Spring,Clear/Partly Cloudy
47,2011-01-02,1,0,1,23,0,0,0,1,9.02,11.365,47.0,11.0014,0,8,8,23,Spring,Clear/Partly Cloudy
48,2011-01-03,1,0,1,0,0,1,1,1,9.02,9.85,44.0,23.9994,0,5,5,22,Spring,Clear/Partly Cloudy
49,2011-01-03,1,0,1,1,0,1,1,1,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,22,Spring,Clear/Partly Cloudy
50,2011-01-03,1,0,1,4,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,22,Spring,Clear/Partly Cloudy
51,2011-01-03,1,0,1,5,0,1,1,1,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,22,Spring,Clear/Partly Cloudy
52,2011-01-03,1,0,1,6,0,1,1,1,5.74,5.305,50.0,26.0027,0,30,30,22,Spring,Clear/Partly Cloudy
53,2011-01-03,1,0,1,7,0,1,1,1,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,22,Spring,Clear/Partly Cloudy
54,2011-01-03,1,0,1,8,0,1,1,1,5.74,6.0600000000000005,50.0,19.0012,1,153,154,22,Spring,Clear/Partly Cloudy
55,2011-01-03,1,0,1,9,0,1,1,1,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,22,Spring,Clear/Partly Cloudy
56,2011-01-03,1,0,1,10,0,1,1,1,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,22,Spring,Clear/Partly Cloudy
57,2011-01-03,1,0,1,11,0,1,1,1,8.200000000000001,9.09,40.0,22.0028,10,41,51,22,Spring,Clear/Partly Cloudy
58,2011-01-03,1,0,1,12,0,1,1,1,9.02,10.605,35.0,19.999499999999998,13,48,61,22,Spring,Clear/Partly Cloudy
59,2011-01-03,1,0,1,13,0,1,1,1,9.84,10.605,35.0,19.0012,8,53,61,22,Spring,Clear/Partly Cloudy
60,2011-01-03,1,0,1,14,0,1,1,1,10.66,12.120000000000001,30.0,19.0012,11,66,77,22,Spring,Clear/Partly Cloudy
61,2011-01-03,1,0,1,15,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,22,Spring,Clear/Partly Cloudy
62,2011-01-03,1,0,1,16,0,1,1,1,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,22,Spring,Clear/Partly Cloudy
63,2011-01-03,1,0,1,17,0,1,1,1,9.84,11.365,30.0,15.001299999999999,11,146,157,22,Spring,Clear/Partly Cloudy
64,2011-01-03,1,0,1,18,0,1,1,1,9.84,12.879999999999999,32.0,7.0015,9,148,157,22,Spring,Clear/Partly Cloudy
65,2011-01-03,1,0,1,19,0,1,1,1,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,22,Spring,Clear/Partly Cloudy
66,2011-01-03,1,0,1,20,0,1,1,1,8.200000000000001,11.365,47.0,7.0015,3,49,52,22,Spring,Clear/Partly Cloudy
67,2011-01-03,1,0,1,21,0,1,1,1,7.38,9.85,64.0,8.9981,3,49,52,22,Spring,Clear/Partly Cloudy
68,2011-01-03,1,0,1,22,0,1,1,1,5.74,7.575,69.0,8.9981,0,20,20,22,Spring,Clear/Partly Cloudy
69,2011-01-03,1,0,1,23,0,1,1,1,7.38,10.605,55.00000000000001,7.0015,1,11,12,22,Spring,Clear/Partly Cloudy
70,2011-01-04,1,0,1,0,0,2,1,1,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,23,Spring,Clear/Partly Cloudy
71,2011-01-04,1,0,1,1,0,2,1,1,6.5600000000000005,9.09,59.0,7.0015,0,2,2,23,Spring,Clear/Partly Cloudy
72,2011-01-04,1,0,1,2,0,2,1,1,5.74,7.575,63.0,8.9981,0,1,1,23,Spring,Clear/Partly Cloudy
73,2011-01-04,1,0,1,4,0,2,1,1,5.74,9.09,63.0,6.0032,0,2,2,23,Spring,Clear/Partly Cloudy
74,2011-01-04,1,0,1,5,0,2,1,1,4.92,7.575,68.0,7.0015,0,4,4,23,Spring,Clear/Partly Cloudy
75,2011-01-04,1,0,1,6,0,2,1,1,4.92,7.575,74.0,7.0015,0,36,36,23,Spring,Clear/Partly Cloudy
76,2011-01-04,1,0,1,7,0,2,1,1,4.92,7.575,74.0,8.9981,2,92,94,23,Spring,Clear/Partly Cloudy
77,2011-01-04,1,0,1,8,0,2,1,1,5.74,7.575,69.0,11.0014,2,177,179,23,Spring,Clear/Partly Cloudy
78,2011-01-04,1,0,1,9,0,2,1,1,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,23,Spring,Clear/Partly Cloudy
79,2011-01-04,1,0,1,10,0,2,1,2,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,23,Spring,Mist/Cloudy
80,2011-01-04,1,0,1,11,0,2,1,1,9.02,10.605,51.0,19.999499999999998,7,50,57,23,Spring,Clear/Partly Cloudy
81,2011-01-04,1,0,1,12,0,2,1,1,9.02,11.365,51.0,11.0014,12,66,78,23,Spring,Clear/Partly Cloudy
82,2011-01-04,1,0,1,13,0,2,1,1,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,23,Spring,Clear/Partly Cloudy
83,2011-01-04,1,0,1,14,0,2,1,1,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,23,Spring,Clear/Partly Cloudy
84,2011-01-04,1,0,1,15,0,2,1,1,11.48,13.635,52.0,16.997899999999998,17,48,65,23,Spring,Clear/Partly Cloudy
85,2011-01-04,1,0,1,16,0,2,1,1,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,23,Spring,Clear/Partly Cloudy
86,2011-01-04,1,0,1,17,0,2,1,1,11.48,13.635,48.0,15.001299999999999,10,202,212,23,Spring,Clear/Partly Cloudy
87,2011-01-04,1,0,1,18,0,2,1,1,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,23,Spring,Clear/Partly Cloudy
88,2011-01-04,1,0,1,19,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,2,110,112,23,Spring,Clear/Partly Cloudy
89,2011-01-04,1,0,1,20,0,2,1,1,9.84,12.879999999999999,48.0,7.0015,1,53,54,23,Spring,Clear/Partly Cloudy
90,2011-01-04,1,0,1,21,0,2,1,1,9.02,13.635,64.0,0.0,0,48,48,23,Spring,Clear/Partly Cloudy
91,2011-01-04,1,0,1,22,0,2,1,1,9.02,12.879999999999999,64.0,6.0032,1,34,35,23,Spring,Clear/Partly Cloudy
92,2011-01-04,1,0,1,23,0,2,1,1,8.200000000000001,11.365,69.0,6.0032,2,9,11,23,Spring,Clear/Partly Cloudy
93,2011-01-05,1,0,1,0,0,3,1,1,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,23,Spring,Clear/Partly Cloudy
94,2011-01-05,1,0,1,1,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,6,6,23,Spring,Clear/Partly Cloudy
95,2011-01-05,1,0,1,2,0,3,1,1,6.5600000000000005,9.85,74.0,6.0032,0,2,2,23,Spring,Clear/Partly Cloudy
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,23,Spring,Clear/Partly Cloudy
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,23,Spring,Clear/Partly Cloudy
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,23,Spring,Clear/Partly Cloudy
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,23,Spring,Clear/Partly Cloudy
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,23,Spring,Clear/Partly Cloudy
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,23,Spring,Clear/Partly Cloudy
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,23,Spring,Clear/Partly Cloudy
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,23,Spring,Clear/Partly Cloudy
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,23,Spring,Clear/Partly Cloudy
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,23,Spring,Clear/Partly Cloudy
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,23,Spring,Clear/Partly Cloudy
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,23,Spring,Clear/Partly Cloudy
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,23,Spring,Clear/Partly Cloudy
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,23,Spring,Clear/Partly Cloudy
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,23,Spring,Clear/Partly Cloudy
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,23,Spring,Clear/Partly Cloudy
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,23,Spring,Clear/Partly Cloudy
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,23,Spring,Clear/Partly Cloudy
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,23,Spring,Clear/Partly Cloudy
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,23,Spring,Clear/Partly Cloudy
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,23,Spring,Clear/Partly Cloudy
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,23,Spring,Clear/Partly Cloudy
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,23,Spring,Clear/Partly Cloudy
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,23,Spring,Mist/Cloudy
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,23,Spring,Mist/Cloudy
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,23,Spring,Mist/Cloudy
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,23,Spring,Mist/Cloudy
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,23,Spring,Clear/Partly Cloudy
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,23,Spring,Mist/Cloudy
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,23,Spring,Clear/Partly Cloudy
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,23,Spring,Clear/Partly Cloudy
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,23,Spring,Clear/Partly Cloudy
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,23,Spring,Clear/Partly Cloudy
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,23,Spring,Clear/Partly Cloudy
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,23,Spring,Clear/Partly Cloudy
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,23,Spring,Clear/Partly Cloudy
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,23,Spring,Clear/Partly Cloudy
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,23,Spring,Clear/Partly Cloudy
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,23,Spring,Clear/Partly Cloudy
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,23,Spring,Clear/Partly Cloudy
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,23,Spring,Mist/Cloudy
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,23,Spring,Mist/Cloudy
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,23,Spring,Mist/Cloudy
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,23,Spring,Mist/Cloudy
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,23,Spring,Mist/Cloudy
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,23,Spring,Mist/Cloudy
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,23,Spring,Mist/Cloudy
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,23,Spring,Light Snow/Rain
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,23,Spring,Mist/Cloudy
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,23,Spring,Clear/Partly Cloudy
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,23,Spring,Clear/Partly Cloudy
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,23,Spring,Clear/Partly Cloudy
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,23,Spring,Clear/Partly Cloudy
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,23,Spring,Mist/Cloudy
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,23,Spring,Mist/Cloudy
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,23,Spring,Mist/Cloudy
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,23,Spring,Mist/Cloudy
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,23,Spring,Mist/Cloudy
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,23,Spring,Mist/Cloudy
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,23,Spring,Mist/Cloudy
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,23,Spring,Clear/Partly Cloudy
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,23,Spring,Clear/Partly Cloudy
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,23,Spring,Clear/Partly Cloudy
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,23,Spring,Clear/Partly Cloudy
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,23,Spring,Mist/Cloudy
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,23,Spring,Mist/Cloudy
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,24,Spring,Mist/Cloudy
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,24,Spring,Mist/Cloudy
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,24,Spring,Mist/Cloudy
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,24,Spring,Light Snow/Rain
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,24,Spring,Light Snow/Rain
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,24,Spring,Mist/Cloudy
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,24,Spring,Mist/Cloudy
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,24,Spring,Mist/Cloudy
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,24,Spring,Light Snow/Rain
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,24,Spring,Light Snow/Rain
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,24,Spring,Mist/Cloudy
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,24,Spring,Mist/Cloudy
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,24,Spring,Mist/Cloudy
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,24,Spring,Clear/Partly Cloudy
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,24,Spring,Clear/Partly Cloudy
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,24,Spring,Clear/Partly Cloudy
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,24,Spring,Clear/Partly Cloudy
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,24,Spring,Clear/Partly Cloudy
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,24,Spring,Clear/Partly Cloudy
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,24,Spring,Clear/Partly Cloudy
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,24,Spring,Clear/Partly Cloudy
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,24,Spring,Clear/Partly Cloudy
184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,24,Spring,Clear/Partly Cloudy
185,2011-01-08,1,0,1,23,0,6,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,24,Spring,Clear/Partly Cloudy
186,2011-01-09,1,0,1,0,0,0,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,24,Spring,Clear/Partly Cloudy
187,2011-01-09,1,0,1,1,0,0,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,24,Spring,Clear/Partly Cloudy
188,2011-01-09,1,0,1,2,0,0,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,24,Spring,Clear/Partly Cloudy
189,2011-01-09,1,0,1,3,0,0,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,24,Spring,Clear/Partly Cloudy
190,2011-01-09,1,0,1,4,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,24,Spring,Clear/Partly Cloudy
191,2011-01-09,1,0,1,5,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,24,Spring,Clear/Partly Cloudy
192,2011-01-09,1,0,1,6,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,24,Spring,Clear/Partly Cloudy
193,2011-01-09,1,0,1,7,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,24,Spring,Clear/Partly Cloudy
194,2011-01-09,1,0,1,8,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,10,10,24,Spring,Clear/Partly Cloudy
195,2011-01-09,1,0,1,9,0,0,0,1,4.92,3.7900000000000005,46.0,35.0008,0,19,19,24,Spring,Clear/Partly Cloudy
196,2011-01-09,1,0,1,10,0,0,0,1,5.74,5.305,43.0,26.0027,0,49,49,24,Spring,Clear/Partly Cloudy
